what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1333981703800
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1333981703801
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1333981703801
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1333981703802
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1333981703802
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1333981703803
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1333981703803
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1333981703804
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1333981703804
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1333981703805
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1333981703806
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1333981703808
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1333981703809
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1333981703810
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1333981703811
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1333981703812
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1333981703813
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1333981703814
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1333981703815
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1333981703816
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1333981703817
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1333981703817
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1333981703817
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1333981703819
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1333981703819
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1333981703820
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1333981703820
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1333981703821
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1333981703822
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1333981703822
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1333981703825
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1333981703826
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1333981703826
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1333981703827
os,sysinfo,,,"macosx",1333981703834
arch,sysinfo,,,"x86_64",1333981703834
ws,sysinfo,,,"cocoa",1333981703834
locale,sysinfo,,,"ko_KR",1333981703834
processors,sysinfo,,,"4",1333981703834
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1333981703834
java.runtime.version,sysinfo,,,"1.6.0_31-b04-414-11M3626",1333981703834
java.specification.name,sysinfo,,,"Java Platform API Specification",1333981703834
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1333981703834
java.specification.version,sysinfo,,,"1.6",1333981703834
java.vendor,sysinfo,,,"Apple Inc.",1333981703834
java.version,sysinfo,,,"1.6.0_31",1333981703834
java.vm.info,sysinfo,,,"mixed mode",1333981703834
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1333981703834
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1333981703834
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1333981703834
java.vm.specification.version,sysinfo,,,"1.0",1333981703834
java.vm.vendor,sysinfo,,,"Apple Inc.",1333981703834
java.vm.version,sysinfo,,,"20.6-b01-414",1333981703834
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1333981704634
